brand,entity,category,fy,revenue_cr,pat_cr,ebitda_cr,pat_positive,aov_inr,customer_metric,channel_note,source_url,notes
Freakins,Since99 Apparel Pvt Ltd,Apparel (womenswear denim),FY25,72.5,-21.0,-19.6,N,,,,https://inc42.com/company/freakins/financials/,EBITDA is Inc42 Datalabs estimate. FY24 rev ~27.9.
Offduty,(not confirmed),Apparel (womenswear),,,,,,,,,https://tracxn.com/d/companies/off-duty/__wP4O4plT_V42mg4FqhDyFoHxhIRu-xE36dUxXwb1Wm4,No financials found.
Suta,Suta (entity not confirmed),Ethnic wear (sarees),FY25,73.5,-0.3,,N,,,Bootstrapped; offline stores + website,https://startuppedia.in/trending/startup-news/founded-with-rs-6-lakh-by-two-sisters-bootstrapped-fashion-brand-suta-reports-rs-735-crore-revenue-in-fy25-11176966,"FY24: rev 75.8, PAT +0.73."
Bunaai,Bunaai Whiteofficial Pvt Ltd,Ethnic wear,,,,,,,,,https://www.thecompanycheck.com/company/bunaai-whiteofficial-private-limited/U17299RJ2018PTC062475,Figures behind paywall.
Jaipur Kurti,"Nandani Creation Ltd (listed, NSE: JAIPURKURT)",Ethnic wear (kurtis),FY26,111,2,8,Y,,,Online + own stores + marketplaces,https://www.screener.in/company/JAIPURKURT/,"Screener rounded figures; EBITDA = operating profit. FY25: sales 70, PAT 4 (other snippet claimed FY25 rev 118/PAT 1.78 - conflicting)."
House of Masaba,House of Masaba Lifestyle Pvt Ltd (ABFRL subsidiary),Designer apparel/beauty,FY25,115.88,,,,,,,https://www.thecompanycheck.com/company/house-of-masaba-lifestyle-private-limited/U74110MH2014PTC257909,PAT locked/not found. FY24 profit reportedly fell ~90%.
FabAlley / Indya,High Street Essentials Pvt Ltd,Apparel (western + ethnic womenswear),FY25,122,,,,,,,https://tracxn.com/d/legal-entities/india/high-street-essentials-private-limited/__HGBmcraEUJYMIlVeaLP5NA3VZtEmV7MYhKns_aSC_As ; https://entrackr.com/2024/03/faballey-and-indya-parent-posts-rs-185-cr-revenue-and-rs-45-cr-loss-in-fy23/,"FY25 revenue per Tracxn only; PAT unknown. FY23: rev 185, loss 45 (likely still loss-making)."
Tjori,Tjori (entity not confirmed),Apparel/accessories (handcrafted),FY25,6.1,0.025,0.6,Y,,,,https://inc42.com/company/tjori/financials/,Tiny; revenue down 39%. EBITDA est by Inc42 Datalabs.
Zouk,Zouk (entity not confirmed),Bags/accessories,FY25,126.9,-19.6,,N,,,,https://inc42.com/company/zouk/financials/,FY24 rev 78.2.
Mokobara,Mokobara Lifestyle Pvt Ltd,Luggage/bags,FY25,230,-10.2,-15.0,N,,,,https://entrackr.com/fintrackr/mokobara-revenue-doubles-to-rs-230-cr-in-fy25-11066667,EBITDA derived from -6.52% margin. Total income 240.4. FY24 loss ~4.
Nasher Miles,Nasher Miles Pvt Ltd,Luggage,FY25,145.5,0.09,2.7,Y,,,Planning 20-25 stores; quick commerce,https://inc42.com/company/nasher-miles/financials/,PAT Rs 8.6 lakh (breakeven). Revenue down 13% from 167.8. EBITDA Inc42 estimate.
Uppercase,Uppercase (entity not confirmed),Luggage/bags,FY25,83,-35,,N,,,"Online + ~1,800 multi-brand outlets (FY24)",https://entrackr.com/fintrackr/uppercases-losses-double-in-fy25-revenue-grows-34-10643251,
Assembly,(not confirmed),Bags/luggage,,,,,,,,,https://tracxn.com/d/companies/assembly/__e4Xuv14QNV-5Aa5PgZwljn-3NQaiIYeKYWagsPQ6oIM,No filed numbers found (FY24 guidance Rs 25-30 Cr).
Neeman's,Neeman's (entity not confirmed),Footwear,FY25,108,-23,,N,,,,https://startuppedia.in/trending/startup-news/founded-by-two-brothers-in-2018-neemans-revenue-jumps-38-to-rs-108-crore-in-fy25-loss-narrows-21-to-rs-23-crore-11147244,"FY24: rev 78.5, loss 29.2."
Bacca Bucci,Bacca Bucci Fashions Pvt Ltd,Footwear,FY25,81.7,-3.9,,N,,,Mostly online; entered quick commerce,https://startuppedia.in/trending/startup-news/childhood-friends-from-rajasthan-take-bacca-bucci-to-rs-817-crore-revenue-in-fy25-post-rs-39-crore-loss-11142714,FY24 PAT +1.6.
XYXX,XYXX (entity not confirmed),Innerwear (men),FY25,187,-25.5,-21.1,N,,,,https://entrackr.com/fintrackr/d2c-innerwear-brands-xyxx-damensch-scale-up-in-fy25-profitability-remains-elusive-11433803,EBITDA Inc42 estimate. FY24 loss 35.5.
DaMENSCH,DaMENSCH (entity not confirmed),Innerwear/apparel (men),FY25,118,-57,-48.6,N,,,,https://entrackr.com/fintrackr/d2c-innerwear-brands-xyxx-damensch-scale-up-in-fy25-profitability-remains-elusive-11433803,EBITDA Inc42 estimate. FY24 loss 60.
Zivame,Actoserba Active Wholesale Pvt Ltd (Reliance Retail),Innerwear (women),FY25,165.7,-15.7,,N,,,,https://inc42.com/company/zivame/financials/,Inc42 Datalabs; FY24 reported elsewhere as rev 193 / loss 39 (inconsistent base).
Clovia,Purple Panda Fashions Ltd (Reliance Retail),Innerwear (women),FY25,238.6,-58.5,,N,,,,https://inc42.com/company/clovia/financials/,"Inc42 Datalabs figures; company PR claims PAT profitability/Rs 550 Cr run-rate - unverified, conflicting."
Nykd by Nykaa,"Nykaa Fashion Ltd (part of Nykaa, listed)",Innerwear,FY25,59,,,,,,28+ outlets,https://www.indianretailer.com/franchisetv/archives/news/franchise-news-nykd-nykaa-expands-footprint-kochi-grows-28-plus-outlet-chain,Brand-level revenue from secondary snippet (FY26 ~90); not separately audited; captive private label of Nykaa.
Bummer,Bummer (entity not confirmed),Innerwear,FY25,10.7,-4.2,-3.9,N,,,,https://inc42.com/company/bummer/financials/,EBITDA Inc42 estimate.
Virgio,Virgio (entity not confirmed),Apparel (women fast fashion),FY25,31.9,-33.4,-31.7,N,,,,https://inc42.com/company/virgio/financials/,EBITDA Inc42 estimate. FY24 rev 14.3 loss 35.3.
Kalki Fashion,Kalki Fashion (entity not confirmed),Ethnic wear (occasion),,,,,,,,,https://www.indianretailer.com/news/funding-alert-kalki-fashion-raises-rs-225-cr-lighthouse-funds-fuel-expansion,No filed figures found; reportedly profitable but unverified.
Go Colors,Go Fashion (India) Ltd (listed),Apparel (women bottomwear),FY26,838,59.18,237,Y,,,Offline EBO-led (not digital-first) - flag for exclusion,https://finance.yahoo.com/quote/GOCOLORS.NS/earnings/GOCOLORS.NS-Q4-2026-earnings_call-546217.html,PAT down 37% from 93.5. Primarily offline retail.
Kushal's,Kushal's Retail Pvt Ltd,Fashion jewellery/accessories,FY25,330,,,,,,Offline stores-led omnichannel,https://tracxn.com/d/legal-entities/india/kushals-retail-private-limited/__WPcT2tIO1OjXrYyKwxODyOg6PT8UaRJc8V2xPtTxv20,PAT not found; largely offline.
Beyoung,Beyoung Folks Pvt Ltd,Apparel (casualwear),FY25,109.3,1.2,4.4,Y,,,Online-first,https://inc42.com/company/beyoung/financials/,EBITDA Inc42 estimate. FY24 rev 81.3.
Wrogn,Universal Sportsbiz Pvt Ltd,Apparel (menswear),FY26,244,-88.4,-67.3,N,,,Targets 100+ stores by Mar 2027,https://entrackr.com/fintrackr/virat-kohli-backed-wrogn-posts-rs-244-cr-revenue-in-fy26-losses-widen-17-12559342,"EBITDA derived from -27.6% margin; adjusted EBITDA loss -38. FY25: rev 223, loss 75.5."
Chumbak,Chumbak Design Pvt Ltd,Accessories/lifestyle,FY24,63.6,-20.3,,N,,,,https://inc42.com/company/chumbak/financials/,FY25 only range (Rs 50-100 Cr).
Aachho,Aachho Jaipur Pvt Ltd,Ethnic wear,FY25,,,,,,,,https://www.thecompanycheck.com/company/aachho-jaipur-private-limited/U18109RJ2021PTC077578,Only revenue range Rs 50-100 Cr; FY24 profit reportedly up 141% - figures not found.
Tokyo Talkies / Highlander,Brand Studio Lifestyle (entity not confirmed),Apparel,,,,,,,"30 Mn+ units sold across 20,000 pincodes",,https://indianretailer.com/news/retail-india-news-brand-studio-lifestyle-takes-highlander-and-tokyo-talkies-global-uae-debut,No financials found.
Bombay Trooper,(not confirmed),Apparel/accessories,FY24,5.74,,,,,,,https://tracxn.com/d/companies/bombaytrooper/__OLty01pCGeWxm87p34kO8GMCLF8Lu7B2duVWswHnn3s,Tiny; PAT not found.
Palmonas,Palmonas Fashion Pvt Ltd,Demi-fine jewellery/accessories,FY25,39,4.3,,Y,,,75+ stores (2026),https://startuppedia.in/trending/startup-news/shraddha-kapoor-co-founded-demi-fine-jewellery-brand-palmonas-scales-to-rs-39-cr-revenue-in-fy25-reports-rs-43-cr-profit-11264933,CONFLICT: Inc42 Datalabs shows FY25 rev 10.8 / loss 0.34 (possibly different entity/period). Marketing 15.2 Cr.
GIVA,GIVA (entity not confirmed),Fine/silver jewellery,FY25,518,-72.3,,N,,,Aggressive offline store rollout,https://entrackr.com/fintrackr/givas-revenue-jumps-89-to-rs-518-cr-in-fy25-11103039,FY26 guided Rs 800-850 Cr. Possibly belongs to jewellery category.
Newme,Newme (entity not confirmed),Apparel (women fast fashion),FY25,183.5,-96.7,,N,,,,https://inc42.com/company/newme/financials/,FY24 rev 49.7.
BlissClub,BlissClub (entity not confirmed),Activewear (women),FY24,92.2,-43.9,-40.2,N,,,,https://inc42.com/company/blissclub/financials/,FY25 not found. EBITDA Inc42 estimate.
Comet,Grails Marketing Pvt Ltd,Footwear (sneakers),FY25,31.7,-4.4,,N,,,,https://inc42.com/company/comet/financials/,FY24 rev 7.9.
Salty,Salty (entity not confirmed),Fashion accessories/jewellery,FY25,32.4,,,N,,,,https://inc42.com/company/salty/financials/,Expenses 33.5 > revenue => small loss (exact PAT not given).
Knya,Knya (entity not confirmed),Medical apparel (scrubs),FY26,110,10,,Y,,,,https://inc42.com/features/fy26-financial-tracker-tracking-the-financial-performance-of-indian-startups/,
Purple Style Labs (Pernia's Pop-Up),Purple Style Labs Pvt Ltd,Designer ethnic/luxury fashion,FY25,490,-188.6,,N,,,,https://inc42.com/features/fy25-financial-tracker-tracking-the-financial-performance-of-indian-startups/,Multi-brand designer platform + stores.
DailyObjects,DailyObjects (entity not confirmed),"Accessories (bags, tech accessories)",FY25,110,,,,,,,https://entrackr.com/fintrackr/d2c-lifestyle-brand-dailyobjects-posts-rs-110-cr-revenue-in-fy25-11146401,PAT not captured; FY26 targets EBITDA profitability (implies FY25 not EBITDA-positive).
Lenskart,Lenskart Solutions Ltd (listed),Eyewear/accessories,FY26,8814,500.9,,Y,,,Omnichannel; large store network,https://inc42.com/features/fy26-financial-tracker-tracking-the-financial-performance-of-indian-startups/,Scale outlier; include only if eyewear counts as fashion accessory.
BlueStone,BlueStone Jewellery and Lifestyle Ltd (listed),Fine jewellery,FY26,2436.4,13.2,,Y,,,"Omnichannel, store-led",https://inc42.com/features/fy26-financial-tracker-tracking-the-financial-performance-of-indian-startups/,First full year of profit; FY25 loss 221.8. Probably jewellery category.
