brand,entity,category,fy,revenue_cr,pat_cr,ebitda_cr,pat_positive,aov_inr,customer_metric,channel_note,source_url,notes
The Bear House,The Bear House (Bengaluru),Premium menswear,FY26,270,16,,Y,,62% of customers from tier II+ markets; early repeat rate 65%,"Marketplace-first (FY25: ~85% marketplaces - Myntra/Flipkart/Ajio, 13-14% own site); offline now ~25% (24 stores + 109 Reliance Trends SIS)",https://inc42.com/startups/can-the-bear-house-prowl-its-way-to-%e2%82%b9500-cr-in-revenue/ ; https://inc42.com/startups/the-bear-house-how-this-d2c-brand-stitched-together-an-inr-140-cr-profitable-menswear-business/,FY26 figures are founder-disclosed (unaudited). Audited-ish: FY24 rev Rs 96 Cr / PAT Rs 11.1 Cr (RoC); FY25 rev Rs 130 Cr / PAT Rs 3.7 Cr. Profitable since day one; Rs 50 Cr Series A (JM Financial) only
Snitch,Snitch (Bengaluru),Men's fast fashion,FY24,243,4.4,,Y,,,Online ~70% of sales; 100+ stores by 2026,https://inc42.com/buzz/snitchs-fy24-revenue-zooms-2-3x-to-inr-243-cr/,FY25 slipped to Rs 1.7 Cr loss on Rs 498 Cr revenue; FY26 revenue ~Rs 900 Cr (claimed)
Traya,Tatvartha Health Pvt Ltd,Hair-loss treatment (ayurveda+derma+nutrition),FY24,236,8.66,,Y,,8 lakh+ customers; 70% non-metro,"App, website, Amazon, Flipkart",https://inc42.com/buzz/traya-turns-profitable-in-fy24-clocks-revenue-of-inr-236-cr/,FY23 loss Rs 27.8 Cr; raised ~Rs 165 Cr; FY25 financials not found
R for Rabbit,R for Rabbit (baby products),Baby gear/products,FY24,170,2.21,,Y,,,D2C + marketplaces + offline,https://pulse.d2cinsider.com/r-for-rabbit-raises-27-mn-in-series-b-secondary-deals-eyes-aggressive-d2c-expansion/,FY25 revenue ~Rs 250 Cr at marginal Rs 0.14 Cr loss (near break-even)
Loom Solar,Loom Solar (Faridabad),Consumer solar panels/inverters/batteries,FY24,151.5,9,~14.1 (9.31% margin),Y,,,Early Amazon/e-commerce seller; rural & tier 2-3 focus; split n/a,https://entrackr.com/fintrackr/loom-solar-surpasses-rs-150-cr-revenue-in-fy24-profits-triple-8845840,Revenue 2.9X YoY; ROCE 37%; dealer network also significant
Nutrabay,Nutrabay (Pune),Sports nutrition,FY24,99,1.22,2.26,Y,,,Own platform + marketplaces,https://inc42.com/startups/how-nutrabay-became-an-inr-100-cr-profitable-brand-with-its-lean-frugal-playbook/,Lean/frugal; FY23 marginal loss Rs 0.058 Cr; FY24 total revenue figure
Phool,Kanpur Flowercycling Pvt Ltd,Incense / home fragrance,FY25,76.5,2.5,,Y,,,Not disclosed; ad spend Rs 16.2 Cr,https://pulse.d2cinsider.com/phool-co-turns-profitable-in-fy25-as-revenue-surges-54-strengthening-indias-sustainable-d2c-home-care-ecosystem/,Turnaround from Rs 5 Cr loss in FY24
Cosmix,Cosmix (Bengaluru; Marico acquired 60% in 2026),Plant-protein & wellness nutrition,FY25,50.93,8.21,~11.4 (22.48% margin),Y,,,Own website + third-party online marketplaces,https://entrackr.com/fintrackr/cosmix-by-the-numbers-what-marico-gets-in-its-latest-d2c-acquisition-11078159,"Bootstrapped until Marico deal; FY24 rev Rs 24.2 Cr, PAT Rs 2.83 Cr; ROCE ~99%"
Menhood,Macobs Technologies Ltd (NSE SME listed),Men's grooming,FY26,41.4,3.1,~3.4 (op. profit),Y,,,Primarily own digital platforms + e-commerce marketplaces,https://pulse.d2cinsider.com/menhood-posts-75-revenue-growth-in-fy26-profit-crosses-e2-82-b93-crore-as-d2c-grooming-brand-scales-rapidly/ ; https://www.screener.in/company/MACOBSTECH/consolidated/,"FY25 rev Rs 23.6 Cr, PAT Rs 2.6 Cr; acquired 50.01% of Getmymettle"
Palmonas,Palmonas,Demi-fine jewellery,FY25,40,4.3,,Y,,78 stores (2026),"D2C ~50%, offline stores ~27%, marketplaces + quick commerce rest",https://pulse.d2cinsider.com/palmonas-crosses-75-stores-and-targets-e2-82-b9750-crore-revenue-accelerates-omnichannel-growth-across-india/,"FY25 revenue approximate; FY26 revenue ~Rs 251 Cr (claimed, PAT n/a); raised $40 Mn Series B"
Desi Farms,Desi Farms,Dairy / healthy mithai,FY25,38,2,,Y,,,"FY26 mix: D2C 38%, B2C 34%, B2B 28%",https://pulse.d2cinsider.com/desi-farms-surges-%e2%82%b9300-cr-powering-rapid-growth-in-indias-d2c-dairy-ecosystem/,FY26 revenue Rs 300 Cr incl. Rs 130 Cr acquisition (Healthy Mithai); profitable 3 yrs claimed
Blue Tea,Blue Tea (bootstrapped),Herbal tea / wellness beverages,FY25,37,,,Y,,"25 lakh+ consumers; ~5,200 units/day",India ~80% of revenue; ~50% of India sales from own website; 59% non-metro; quick commerce growing,https://entrackr.com/fintrackr/profitable-bootstrapped-d2c-brand-blue-tea-projects-rs-65-cr-sales-in-fy26-11167786,Profitable but PAT figure not disclosed; FY26 target Rs 65 Cr
Kyari,Kyari (Indore),Indoor plants / self-watering planters,FY26,20,,,Y,,10 lakh+ customers; ~25% revenue from repeat,D2C + marketplaces + quick commerce; Bengaluru largest market,https://pulse.d2cinsider.com/kyari-crosses-10-lakh-customers-achieves-profitability-targets-e2-82-b9100-crore-revenue-by-fy28/,"Revenue 'over Rs 20 Cr' (company claim); PAT-positive claimed, amount n/a"
Cellecor,Cellecor Gadgets Ltd (NSE SME listed),"Consumer electronics (phones, TVs, wearables)",FY26,1292,40,71,Y,,,Online marketplaces + offline distribution (split n/a),https://www.screener.in/company/CELLECOR/,"FY25: rev Rs 1,026 Cr, PAT Rs 31 Cr; consistently profitable since FY22"
BlueStone,Bluestone Jewellery & Lifestyle Ltd (listed),Fine jewellery (digital-first omnichannel),FY26,2436.4,13.2,~388 (op. profit),Y,,,Online + 200+ owned stores,https://inc42.com/features/fy26-financial-tracker-tracking-the-financial-performance-of-indian-startups/ ; https://www.screener.in/company/BLUESTONE/consolidated/,"First profitable year (FY25 loss Rs 221.8 Cr); Inc42 tracker/Screener show PAT Rs 13.2 Cr while other Inc42 pieces cite Rs 26 Cr (different basis); Q1 FY27 PAT Rs 5.9 Cr; well-known, listed"
Urbano (Bizotic Commercial),Bizotic Commercial Ltd (BSE SME listed),Menswear (Urbano Fashion jeans),FY26,251,18,26,Y,,,Marketplace-led (brand sells mainly via Myntra/Amazon/Flipkart; split not verified),https://www.screener.in/company/543926/,"FY25 rev Rs 112 Cr, PAT Rs 4 Cr; Screener describes as garment trading - verify brand mapping"
Sat Kartar,Sat Kartar Shopping Ltd (NSE SME listed),Ayurvedic wellness products,FY26,194,17,25,Y,,,Direct marketing: own website/call-centre/TV + marketplaces (split n/a),https://www.screener.in/company/SATKARTAR/,"FY25 rev Rs 163 Cr, PAT Rs 10 Cr"
Swiss Military,Swiss Military Consumer Goods Ltd (listed),"Travel gear, luggage, home & personal accessories (licensed brand)",FY26,251,8,11,Y,,,E-commerce heavy + retail (split n/a),https://www.screener.in/company/SWISSMLTRY/,"FY25 rev Rs 213 Cr, PAT Rs 9 Cr; licensed brand, asset-light"
Signoria Creation,Signoria Creation Ltd (NSE SME listed),Women's apparel (Jaipur),FY26,40.45,4.19,7.93,Y,,,Marketplaces (Myntra/Ajio etc.) - split n/a,https://www.screener.in/company/SIGNORIA/,"FY25 rev Rs 27.2 Cr, PAT Rs 3.0 Cr; verify D2C share"
Kiaasa,Kiaasa Retail Ltd (listed),Women's ethnic & fusion wear,FY26,135,11,23,Y,,,Store/franchise-led omnichannel (offline-heavy),https://www.screener.in/company/544711/,"FY25 rev Rs 122 Cr, PAT Rs 9 Cr; offline-heavy - borderline for D2C"
Nureca (Dr Trust),Nureca Ltd (listed),Home healthcare devices / wellness,FY26,147,0.3,-3,Y,,,Online marketplaces-led (Dr Trust),https://www.screener.in/company/NURECA/,"PAT marginal (~Rs 0.3 Cr, EPS 0.31) and driven by other income; operating EBITDA negative"
Jewelbox,Jewelbox,Lab-grown diamond jewellery,FY24,14.3,1.6,,Y,,~40% of orders online,Online + stores,https://pulse.d2cinsider.com/jewelbox-has-secured-3-2-million-approximately-27-crore-in-a-pre-series-a-funding-round-led-by-v3-ventures/,Below Rs 20 Cr revenue
Epigamia,Drums Food International,Greek yoghurt / protein snacks,FY25/FY26,,,,Y,,"20,000 retail outlets, 200+ cities","~60% sales from quick commerce + e-commerce, 40% offline",https://pulse.d2cinsider.com/epigamia-accelerates-growth-with-capacity-expansion-and-profitable-scale/,Company claims profitable 'since last year' and ARR > Rs 500 Cr; no audited PAT figure found
Dogsee Chew,Dogsee Chew,Pet treats / pet wellness,FY26,,,,Y,,,US ~70% of revenue,https://pulse.d2cinsider.com/dogsee-chew-eyes-e2-82-b9300-cr-fundraise-to-accelerate-global-expansion-and-build-indias-next-pet-wellness-powerhouse/,'Recently achieved PAT profitability' (claim); targeting Rs 250 Cr revenue this FY; no audited numbers
Zoff,Zoff Foods (Zone Of Fresh Food),Spices,FY24,93,1,,Y,,,Quick commerce (Blinkit/Instamart/Zepto) + modern trade,https://inc42.com/features/d2c-brands-that-are-disrupting-indias-consumer-market/ ; https://entrackr.com/fintrackr/spice-brand-zoff-crosses-rs-100-cr-revenue-in-fy25-slips-into-losses-10939767,FY24 revenue is company-claimed GROSS revenue; slipped into losses in FY25 (revenue >Rs 100 Cr); Shark Tank S2 brand
"Mosaic Wellness (Man Matters, Be Bodywise, Little Joys)",Mosaic Wellness,Digital-first consumer health (house of brands),FY25,736,-12,~-20.5 (-2.79% margin),N,,,Online-led; product sales only source,https://entrackr.com/fintrackr/mosaic-wellness-revenue-doubles-to-rs-736-cr-in-fy25-nears-break-even-10787380,NOT PAT-positive in FY25 (loss Rs 12 Cr) but reported as 'turned profitable' in 2026 (FY26 audited PAT not yet found) - watchlist
Dot & Key,Dot & Key Wellness (Nykaa-owned majority),Skincare,FY25,529,,~74 (14% margin),N/A,,,"~70% e-commerce platforms, ~20% own website, ~10% offline",https://inc42.com/startups/how-dot-key-scaled-to-inr-529-cr-minted-profits-in-a-hyper-competitive-skincare-market/,Revenue is net sales value; EBITDA-positive since Jan 2023 per founders; PAT not disclosed; Nykaa subsidiary
