brand,entity,category,fy,revenue_cr,pat_cr,ebitda_cr,pat_positive,aov_inr,customer_metric,channel_note,source_url,notes
Agaro,Agaro Lifestyle (entity unverified),small appliances,,,,,,,,Amazon-led,https://tracxn.com/d/companies/agaro/__jmzmc3q_M0uj7NPoJoTdxxWgDpWhgN3-K9TFhvIJtDU,No public financials found
Wonderchef,Wonderchef Home Appliances Pvt Ltd,kitchenware/appliances,FY25,421,4.4,,Y,~1500-3000 (typical),,Omnichannel: offline retail + marketplaces + own site + TV/direct selling,https://entrackr.com/fintrackr/wonderchef-posts-421-cr-revenue-and-rs-4-cr-profit-in-fy25-10867025,FY24 rev 378 cr PAT 1.5 cr; not purely digital-first
Atomberg,Atomberg Technologies Pvt Ltd,appliances (BLDC fans),FY25,958.4,-117.4,,N,~3000-5000 (fan price point),,Mostly offline dealers + ecommerce,https://entrackr.com/fintrackr/atomberg-slashes-losses-by-41-in-fy25-after-sharp-cut-in-employee-costs-10942837,Total income ~1000.9 cr; loss down 41% from 199 cr
Solara,Solara Home (entity unverified),kitchenware,,,,,,,,Amazon-led D2C,https://www.cbinsights.com/company/solara-home,No public financials found
The Sleep Company,Komfort Universe Products & Services Pvt Ltd,mattresses/sleep,FY25,499,-48.2,-39,N,~15000-30000 (mattress/chair price point),,Omnichannel: own site + marketplaces + ~100+ stores,https://entrackr.com/fintrackr/the-sleep-companys-revenue-spikes-60-to-rs-499-cr-in-fy25-10516467 ; https://inc42.com/company/the-sleep-company/financials/,PAT from Inc42 (total income 505.7 cr); EBITDA loss per Entrackr
Wakefit,Wakefit Innovations Ltd (listed Dec 2025),mattresses/furniture,FY26,~1489-1534,189,,Y,~10000-20000 (typical),,Omnichannel: D2C site ~ majority + marketplaces + 100+ COCO stores,https://entrackr.com/fintrackr/wakefit-reports-rs-344-cr-revenue-q4-fy26-deferred-tax-gain-lifts-profit-11860519 ; https://indianstartupnews.com/news/wakefit-turns-profitable-in-fy26-as-revenue-rises-17-to-rs-1489-crore-11862110,"FY26 PAT boosted by ~98 cr deferred tax credit in Q4 (Q4 PAT ex-DTA ~24 cr); op rev 1489 cr / total rev 1534 cr. FY25: rev 1274 cr, loss 35 cr"
SleepyCat,SleepyCat (entity per Entrackr),mattresses,FY25,98,-9,-9.6,N,~10000-20000 (typical),,D2C site + marketplaces,https://entrackr.com/fintrackr/sleepycat-reports-rs-98-cr-revenue-and-rs-9-cr-loss-in-fy25-11153884,
Duroflex,Duroflex Pvt Ltd,mattresses (FLAG: offline-first legacy),,,,,,,,Offline dealer network dominant,,Not digital-first; financials not retrieved
Livpure,Livpure Pvt Ltd,water purifiers/appliances (FLAG: not D2C-first),FY25,578.9,7.9,20.0 (est),Y,~10000-20000 (typical),,Offline + ecommerce + subscription (Livpure Smart),https://inc42.com/company/livpure/financials/,"Flag: offline-heavy, not D2C-first"
Urban Ladder,Urban Ladder Home Decor Solutions Ltd (Reliance Retail subsidiary),furniture,FY25,106,4.9,14.3,Y,~15000-40000 (typical),,Online + stores; Reliance-owned,https://x.com/twstofler/status/1996582686476140797 ; https://www.ril.com/sites/default/files/2025-07/Urban_Ladder_Home_D%C3%A9cor_Solutions_Limited.pdf,Rev down 30%; per Tofler snapshot; subsidiary of RIL - not an independent brand
Pepperfry,Pepperfry Ltd,furniture/home marketplace,FY25,163,-85,"-30.5 (est, Inc42)",N,~15000+ (typical),,Marketplace + own brands + studios,https://inc42.com/buzz/pepperfrys-fy24-revenue-declines-31-to-inr-189-cr/ ; https://inc42.com/company/pepperfry/financials/,"Inc42 shows total rev 186.2 cr, loss 84.5 cr; third straight year of decline"
Wooden Street,Woodenstreet Furnitures Pvt Ltd,furniture,FY25,294.8,-74.3,-56.2 (est),N,~20000+ (typical),,Online + 100+ experience stores,https://inc42.com/company/wooden-street/financials/,
Nestasia,Nestasia (entity per Inc42),home decor,FY25,115,-7.7,-4.0 (est),N,~1500-3000 (typical),,D2C site + marketplaces + stores,https://inc42.com/company/nestasia/financials/,Rev +83% YoY
Ellementry,,home decor/tableware,,,,,,,,D2C + stores + quick commerce,https://www.indianretailer.com/interview/retail-people/new-commerce/ellementry-taps-quick-commerce-and-global-markets-fuel-next,No reliable financials found (search returned unrelated data)
Chumbak,Chumbak Design Pvt Ltd (GOAT Brand Labs),home decor/lifestyle,FY25,61.7,-10.2,-7.9 (est),N,~1500-2500 (typical),,D2C site + stores + marketplaces,https://inc42.com/company/chumbak/financials/,Rev -3% YoY
Phool,Kanpur Flowercycling Pvt Ltd,home fragrance/home care,FY25,76.5,2.6,,Y,~500-1000 (typical),,D2C site + marketplaces + quick commerce,https://indianretailer.com/news/phoolco-turns-profitable-fy25-strong-revenue-growth ; https://inc42.com/company/phool/financials/,Turned profitable in FY25; rev +57%
Pure Home + Living,Pure Home & Living Pvt Ltd,home decor,FY25,108,,,,,,Stores + online,https://www.tofler.in/pure-home-and-living-private-limited/company/U45201DL2006PTC147368,PAT not public
DailyObjects,DailyObjects (entity per Entrackr),lifestyle accessories/home,FY25,110,-16,-10.9 (est),N,~1500-2500 (typical),,D2C site + stores,https://entrackr.com/fintrackr/d2c-lifestyle-brand-dailyobjects-posts-rs-110-cr-revenue-in-fy25-11146401,Targeting EBITDA+ in FY26
Green Soul,,furniture (gaming/ergonomic chairs),,,,,,,,,,Not found
Lenskart,Lenskart Solutions Ltd (listed Nov 2025),eyewear,FY26,9002.3,500.95 (reported); 530 (adjusted),1789.5,Y,~1500-2500 (typical frame+lens),35.3 mn eyewear units sold; 23.8 mn eye tests (FY26),Omnichannel: ~2800+ stores + online; intl (Owndays),https://entrackr.com/fintrackr/lenskart-posts-rs-2516-cr-revenue-in-q4-fy26-profit-slips-7-11855334 ; https://www.whalesbook.com/corporate-news/English/consumer-products/Lenskarts-FY26-Revenue-Surges-353percent-to-indian-rupee9002-Cr-EBITDA-Jumps-967percent/6a637c750037f071726ef418,Consolidated; FY25 PAT included one-offs
CaratLane,CaratLane Trading Pvt Ltd (Titan subsidiary),jewellery,FY26,4702,,,Y (profitable at EBIT/EBT level),~40000-60000 (typical ticket),,Omnichannel: 380+ stores + online,https://retailintel.in/signal/caratlane-moves-upmarket-targets-2-3x-revenue-by-fy30-ab4a9f16 ; https://www.titancompany.in/sites/default/files/2025-05/SEoutcome%20-%20Copy.pdf,"FY25: rev 3583 cr, EBT 296 cr (8.3%); Q3FY26 EBIT 200 cr. FY26 PAT not found"
BlueStone,BlueStone Jewellery & Lifestyle Ltd (listed Aug 2025),jewellery,FY26,2436,13,,Y,~50000+ (typical ticket),,Omnichannel: 275+ stores + online,https://entrackr.com/fintrackr/bluestones-revenue-jumps-48-to-rs-681-cr-in-q4-fy26-11758619,"FY25 rev 1770 cr, loss 222 cr; barely profitable FY26"
GIVA,GIVA Jewellery (G.I.V.A.) Pvt Ltd,jewellery (silver/lab-grown),FY25,518,-72,,N,~2500-4000 (typical),,D2C site + 200+ stores,https://entrackr.com/fintrackr/givas-revenue-jumps-89-to-rs-518-cr-in-fy25-11103039 ; https://inc42.com/buzz/giva-loss-widens-23-to-%E2%82%B972-cr-in-fy25-revenue-jumps-90/,Spent Rs1.15 per rupee earned
Palmonas,Palmonas Fashion Pvt Ltd,demi-fine jewellery,FY25,39,4.3,,Y,~1500-3000 (typical),,D2C site + ~60-75 stores,https://startuppedia.in/trending/startup-news/shraddha-kapoor-co-founded-demi-fine-jewellery-brand-palmonas-scales-to-rs-39-cr-revenue-in-fy25-reports-rs-43-cr-profit-11264933,Conflict: Inc42 profile shows FY25 rev 10.8 cr; verify
Salty,Salty E-Commerce Pvt Ltd,fashion jewellery/accessories,FY25,32.3,-1.1,,N,~500-1000 (typical),,D2C + marketplaces + stores,https://inc42.com/company/salty/financials/ ; https://openthemagazine.com/branding-marketing-and-advertising/the-brand-that-wants-to-be-indias-claires-but-saltier,Loss figure from secondary article
Sukkhi,Sukkhi Online Pvt Ltd,fashion jewellery,FY25,145.7,,,,~500-1500 (typical),60 lakh+ consumers claimed,Marketplace-heavy + stores,https://inc42.com/company/sukkhi-jewellery/,PAT not public
Voylla,Voylla Fashions Pvt Ltd,fashion jewellery,FY25,,-1.0,,N,,,,https://inc42.com/company/voylla/financials/,Inc42 shows revenue of only 64.4 lakh for this entity - likely operating business sits elsewhere; treat as unreliable
Kushal's,Kushal's Retail Pvt Ltd,fashion jewellery,FY25,330,,,,~1000-3000 (typical),100+ stores,Offline stores-led + online (FLAG: offline-first),https://tracxn.com/d/legal-entities/india/kushals-retail-private-limited/__WPcT2tIO1OjXrYyKwxODyOg6PT8UaRJc8V2xPtTxv20,PAT not public
Isharya,,jewellery,,,,,,,,,,Not found
Melorra,August Jewellery Pvt Ltd,"jewellery (gold, online)",FY25,35,-38.2,-31.2 (est),N,,,Online-first,https://inc42.com/company/melorra/financials/,Revenue down ~80% YoY (distress)
Candere,Candere (Kalyan Jewellers subsidiary),jewellery,,,,,,,,,,Not retrieved; historically loss-making per Kalyan disclosures (unverified)
Dr Trust,Nureca Ltd (listed),health devices/home care,FY26,147,2,0 (operating profit),Y,~1000-2500 (typical),,Marketplace-heavy,https://www.screener.in/company/NURECA/consolidated/,FY25 rev 110 cr PAT 1 cr; profit from other income
Cellecor,Cellecor Gadgets Ltd (NSE SME),consumer electronics (phones/TVs/audio),FY26,1292,40,71 (operating profit),Y,,,Offline distribution + marketplaces (D2C-ish),https://www.screener.in/company/CELLECOR/,FY25 rev 1026 cr PAT 31 cr; standalone/Screener figures
Hammer,Hammer Lifestyle Pvt Ltd,audio/wearables,FY23,24.4,0.6,1.0 (est),Y,~1000-2000 (typical),,Marketplace + own site; bootstrapped,https://inc42.com/company/hammer/financials/,Stale (FY23)
Zebronics,Zebronics India Pvt Ltd,consumer electronics (FLAG: offline-first),,,,,,,,Offline distribution-led,,Not retrieved
Syska,SSK Group / Syska (FLAG),lighting/appliances,,,,,,,,Offline-led,,Not retrieved
Stuffcool,,mobile accessories,,,,,,,,,,Not found
Gizmore,,wearables/audio,,,,,,,,,,Not found
Truke,,audio,,,,,,,,,,Not found
iBELL,,appliances,,,,,,,,,,Not found
