brand,entity,category,fy,revenue_cr,pat_cr,ebitda_cr,pat_positive,aov_inr,customer_metric,channel_note,source_url,notes
That Sassy Thing,Huha Care Pvt Ltd,sexual wellness,FY25,6.8,-0.47,,N,,,D2C,https://inc42.com/company/that-sassy-thing/financials/,
Nat Habit,Naturohabit Pvt Ltd,ayurveda personal care,FY25,109.3,-29.0,-25.2,N,,,D2C + marketplaces,https://inc42.com/company/nat-habit/financials/,Adjacent (personal care)
Supertails,Petfully Yours Pvt Ltd,pet care e-com + vet,FY25,108.3,-52.5,-47.9,N,,,Own app/site + clinics/stores,https://entrackr.com/fintrackr/petcare-startup-supertails-crosses-rs-100-cr-revenue-in-fy25-losses-surge-28-11167943,Product sales ~95% of op revenue
Heads Up For Tails,Earth Paws Pvt Ltd,pet care,FY25,236.8,-3.3,4.8,N,,,Omnichannel: 100+ own stores + D2C site,https://inc42.com/company/heads-up-for-tails/financials/,EBITDA positive (Inc42 est); near breakeven
Drools,Drools Pet Food Pvt Ltd,pet food,FY25,918,-50,73.9,N,,,NOT D2C - distributor/retail-led manufacturer,https://startuppedia.in/trending/startup-news/nestle-backed-indias-pet-food-unicorn-drools-reports-rs-932-cr-revenue-in-fy25-loss-at-rs-50-cr-11702429,Total rev 932Cr; EBITDA Inc42 est; flag non-D2C
Dogsee Chew,Khanal Foods Pvt Ltd,pet treats,FY25,35.6,-19.8,-15.0,N,,,Export + retail + online,https://inc42.com/company/dogsee-chew/financials/,
Wiggles,Sixth Sense Retail Pvt Ltd,pet care,FY24,21.6,-43.2,-40.3,N,,,D2C,https://inc42.com/company/wiggles/financials/,Inc42 feature: FY25 rev ~10Cr; cash crunch
Mylo,Blupin Technologies Pvt Ltd,mother & baby care,FY25,63.4,-19.0,-18.5,N,,,App community + D2C + marketplaces,https://inc42.com/company/mylo/financials/,
SuperBottoms,Navashya Consumer Products Pvt Ltd,baby cloth diapers,FY25,84.3,-14.2,-13.1,N,,,D2C site-led + marketplaces,https://inc42.com/company/superbottoms/financials/,
Mother Sparsh,Mother Sparsh Baby Care Pvt Ltd,baby care,FY25,99.9,-13.2,-12.0,N,,,Omnichannel (online + pharmacy/MT),https://inc42.com/company/mother-sparsh/financials/,
The Moms Co,Amishi Consumer Technologies Pvt Ltd,mother & baby care,FY23,71.22,-64.38,-62.4,N,,,D2C + marketplaces + retail; Good Glamm owned,https://inc42.com/buzz/the-moms-co-fy23-net-loss-jumps-60-to-inr-64-cr-revenue-grows-38/,Later years not found
Kindlife,Alphacma Pvt Ltd,baby/kids & clean beauty marketplace,FY25,28.9,-4.3,,N,,,Own app/site,https://inc42.com/company/kindlife/financials/,
Dr. Vaidya's,Herbolab India Pvt Ltd,ayurveda wellness,FY25,,,,,,,D2C + marketplaces + stores,https://tracxn.com/d/companies/dr-vaidyas/__m0Yd829zvDwT7P3oZWybyy73Fajwa3mB3QpdTP0r37U,Only revenue band Rs10-50Cr (Tracxn); PAT unknown
Steadfast Nutrition,Steadfast MediShield Pvt Ltd,sports nutrition,,,,,,,,,https://inc42.com/company/steadfast-nutrition/,Brief says profitable; figures not found (search budget exhausted)
Nakpro,,sports nutrition,,,,,,,,Amazon-led,,Brief says profitable; figures not found
Asitis Nutrition,,sports nutrition,,,,,,,,Amazon-led,,Brief says profitable; figures not found
Bigmuscles Nutrition,,sports nutrition,,,,,,,,Marketplace + offline,,Brief says profitable; figures not found
Avvatar,Parag Milk Foods Ltd (listed; brand not separate entity),sports nutrition,,,,,,,,Omnichannel,,No standalone financials; part of Parag Milk Foods
Neuherbs,,supplements,,,,,,,,Marketplace-led,https://inc42.com/company/neuherbs/,Bootstrapped; figures not found
Himalayan Organics,,supplements,,,,,,,,Amazon-led,https://inc42.com/company/himalayan-organics/,Bootstrapped; figures not found
"Wellbeing/other not found: Cureveda, Unived, Upakarma, Tru Hair, Snugkins, Sheopal's, Scitron",,various,,,,,,,,,,Not researched to figures - search budget exhausted
