brand,entity,category,fy,revenue_cr,pat_cr,ebitda_cr,pat_positive,aov_inr,customer_metric,channel_note,source_url,notes
Sid's Farm,Sids Farm Pvt Ltd,Dairy subscription D2C,FY25,168,-27,,N,,,Own app subscription (Hyderabad) + quick commerce/retail,https://entrackr.com/fintrackr/sids-farm-posts-rs-168-cr-revenue-in-fy25-losses-surge-26x-10983599,EBITDA margin -14.58%. Loss up 2.6x from 10.5 cr.
Sleepy Owl,Sleepy Owl (entity not verified),Coffee,FY25,44.4,-2.1,,N,,,Online (own site/marketplaces/quick commerce) + modern trade,https://inc42.com/company/sleepy-owl/financials/|https://startuppedia.in/trending/startup-news/started-from-a-2-bhk-flat-and-with-rs-15-lakh-borrowed-money-3-friends-build-coffee-brand-sleepy-owl-revenue-doubles-to-rs-444-cr-in-fy25-11168720,Revenue doubled from 22.2 cr; loss down 80% from 11 cr. Near breakeven.
Blue Tokai,Blue Tokai Coffee Roasters (entity not verified),Coffee (cafes + retail beans),FY25,325,-50,,N,,100+ cafes,Cafe chain + own website/marketplaces for beans,https://entrackr.com/fintrackr/blue-tokai-posts-rs-325-cr-revenue-in-fy25-cuts-losses-by-21-10918097,"EBITDA margin -3.69%. Cafe-heavy, not pure D2C."
Rage Coffee,Rage Coffee (entity not verified),Coffee,FY25,15.0,-4.9,,N,,,Online + quick commerce + retail,https://inc42.com/company/rage-coffee/financials/,Revenue fell 40% from 25.1 cr. Inc42 Datalabs.
Third Wave Coffee,Third Wave Coffee (entity not verified),Coffee (cafes),FY25,285,-94,,N,,,Cafe chain; small retail/online,https://entrackr.com/news/third-wave-coffee-raises-rs-408-cr-led-by-westbridge-12425559,"FY24 rev ~240 cr. Cafe-led, not D2C product brand."
The Whole Truth,The Whole Truth Foods (entity not verified),Protein bars/snacks/nut butters,FY25,216,-28,,N,,,Own website + marketplaces + quick commerce + modern trade,https://entrackr.com/fintrackr/the-whole-truth-records-33x-revenue-growth-to-rs-216-cr-in-fy25-11032738,EBITDA margin -13.43%; cash 141 cr; FY24 rev 65 cr.
Yoga Bar,Sproutlife Foods Pvt Ltd,Health snacks/breakfast,FY25,201.66,-76,,N,,,Online + quick commerce + modern trade,https://www.indianretailer.com/news/yoga-bar-reports-strong-fy25-growth-revenue-climbs-rs-20166-cr,ITC took control from Apr 1 2026. Marketing 49 cr.
Wingreens,Wingreens Farms Pvt Ltd,Dips/sauces/snacks,FY24,149.7,-47.8,-32.6,N,,,Online + modern trade + quick commerce; acquired Safe Harvest,https://inc42.com/company/wingreens/financials/|https://indianstartupnews.com/news/wingreens-acquires-safe-harvest-raises-over-rs-120-crore-in-fresh-funding-11821782,"Company-reported FY25 rev 289 cr, FY26 rev 362 cr (profit not disclosed). EBITDA is Inc42 estimate."
Epigamia,Drums Food International Pvt Ltd,Dairy (Greek yogurt),FY23,172.0,-67.0,-55.0,N,,,Modern trade + quick commerce heavy,https://inc42.com/company/epigamia/financials/,Latest verifiable is FY23; FY25 target was 250 cr. EBITDA Inc42 estimate. Unverified affluense claims FY24 260 cr / -80 cr.
Slurrp Farm,Wholsum Foods Pvt Ltd,Kids/millet foods,FY25,95.5,-32.7,-31.3,N,,,Online + quick commerce + modern trade,https://startuppedia.in/trending/startup-news/anushka-sharma-backed-wholsum-foods-parent-company-of-slurrp-farm-approaches-rs-100-crore-revenue-mark-in-fy25-loss-widens-30-11133954|https://inc42.com/company/slurrp-farm/financials/,Total income 97.5 cr; EBITDA Inc42 estimate. Loss widened 30%.
Farmley,Farmley (entity not verified),Dry fruits/makhana snacks,FY25,394,-22.5,,N,,,Quick commerce + marketplaces + modern trade + own site,https://entrackr.com/fintrackr/farmley-nears-rs-400-cr-revenue-in-fy25-losses-under-control-10947441,EBITDA margin -3.68%; ad spend 52 cr.
Happilo,Happy International Pvt Ltd (per Entrackr summary),Dry fruits/snacks,FY25,280,-9.5,3,N,,,Online + omnichannel network,https://entrackr.com/fintrackr/happilos-topline-contracts-15-to-rs-280-cr-in-fy25-cuts-losses-by-93-11132455,EBITDA positive; loss down 93% from 136.6 cr; revenue down 15%.
True Elements,HW Wellness Solutions Pvt Ltd,Breakfast/health foods,FY25,164.4,-23,,N,,,Online + modern trade,https://inc42.com/company/true-elements/financials/|https://www.storyboard18.com/brand-marketing/marico-acquires-100-stake-in-true-elements-for-rs-138-crore-80796.htm,Now 100% Marico-owned.
Open Secret,Open Secret (entity not verified),Healthy snacks,FY25,87.3,-7.4,,N,,,Online + quick commerce + modern trade,https://inc42.com/company/open-secret/financials/,Loss down 72%.
Anveshan,Anveshan (entity not verified),Ghee/oils/staples D2C,FY25,77.08,-11.88,,N,,,Own website D2C + marketplaces + quick commerce,https://startuppedia.in/trending/startup-news/founded-by-iit-guwahati-alumni-d2c-food-tech-startup-anveshan-grows-65-to-rs-775-crore-in-fy25-loss-widens-to-rs-118-crore-11180447,Raised Rs 121 cr Series B.
Two Brothers Organic Farms,Two Brothers Organic Farms (entity not verified),Organic ghee/staples,FY25,98.6,,,,,,Own website D2C + exports + marketplaces,https://inc42.com/company/two-brothers-organic-farms/,PAT not found; company-stated FY25 rev 108 cr. Profitability unknown.
Beyond Snack,Beyond Snack (entity not verified),Banana chips snacks,FY25,52.9,-20.9,,N,,,Quick commerce + marketplaces + retail,https://startuppedia.in/trending/startup-news/three-friends-from-symbiosis-build-beyond-snack-banana-chips-brand-posts-rs-53-crore-revenue-in-fy25-as-losses-widen-11227749,Loss up 3.3x from 6.3 cr.
Chaayos,Sunshine Teahouse Pvt Ltd,Tea cafes,FY25,310.6,-25.4,,N,,200+ outlets,Cafe chain + delivery aggregators,https://entrackr.com/fintrackr/chaayos-crosses-rs-300-cr-revenue-in-fy25-ebitda-jumps-65x-11088950,EBITDA positive (jumped 6.5x; absolute not captured). Cafe-led.
Hocco,Hocco (entity not verified),Ice cream,FY25,209.0,-63.1,-53.8,N,,,Offline retail + quick commerce + parlours,https://inc42.com/company/hocco/financials/,Company stated FY25 rev ~220 cr. EBITDA Inc42 estimate.
Jimmy's Cocktails,Jimmy's Cocktails (entity not verified),Mixers/RTD beverages,FY25,34.2,-7.7,,N,,,Online + modern trade + HoReCa,https://startuppedia.in/trending/startup-news/founded-by-ex-mahindra-and-ex-red-bull-executives-beverage-brand-jimmys-cocktail-hits-rs-342-crore-revenue-in-fy25-11247880,"FY24 rev 23.7 cr, loss 10 cr."
Bira 91,B9 Beverages Ltd,Beer (alco-bev),FY24,638,-748,,N,,,Offline via state excise channels; not D2C,https://www.businesstoday.in/latest/corporate/story/rs-619-cr-wiped-rs-1904-cr-loss-bira-91-in-crisis-now-report-cites-audit-red-flags-498035-2025-10-14|https://inc42.com/features/inside-the-bitter-collapse-of-bira-91/,"FY25 not filed as of reports; accumulated losses 1,904 cr."
Go Zero,Go Zero (entity not verified),Low-cal ice cream,FY25,42.7,-8.1,-7.8,N,,,Quick commerce + retail,https://inc42.com/company/go-zero/financials/,EBITDA Inc42 estimate.
Snackible,Snackible (entity not verified),Healthy snacks,FY25,18.7,-1.8,,N,,,Online + B2B/corporate,https://inc42.com/company/snackible/financials/,
Timios,Timios (entity not verified),Kids snacks,FY25,4.9,-1.2,-0.5,N,,,Online + retail,https://inc42.com/company/timios/financials/,EBITDA Inc42 estimate.
Naagin Sauce,Miksar Foods Pvt Ltd (per ZoomInfo),Hot sauces,FY25,4.1,-6.1,-5.8,N,,,Own website + marketplaces + quick commerce,https://inc42.com/company/naagin/financials/,EBITDA Inc42 estimate.
Sweet Karam Coffee,Sweet Karam Coffee (entity not verified),South Indian snacks/coffee D2C,FY25,46.4,-24.8,-22.1,N,,,Own website D2C + exports + quick commerce,https://inc42.com/company/sweet-karam-coffee/financials/,"Contrary to 'profitable small' assumption, Inc42 Datalabs shows loss. EBITDA estimate."
The Good Bug,The Good Bug (entity not verified),Gut-health foods/supplements,FY25,89.7,-43.0,-42.2,N,,,Own website D2C + marketplaces + quick commerce,https://inc42.com/company/the-good-bug/financials/,Borderline category (supplements). EBITDA Inc42 estimate.
FreshToHome,FreshToHome (entity not verified),Meat/seafood D2C,FY25,430.0,-146.3,-145.5,N,,,Own app D2C + B2B,https://inc42.com/company/freshtohome/financials/,EBITDA Inc42 estimate.
Svami,Svami (entity not verified; Stranger & Sons majority),Mixers,FY23,4.2,-8.2,-7.8,N,,,HoReCa + retail + online,https://inc42.com/company/svami/financials/,Stale data (FY23).
Tea Trunk,Tea Trunk (entity not verified),Tea D2C,FY22,3.8,-0.415,-0.305,N,,,Own website D2C + marketplaces,https://inc42.com/company/tea-trunk/financials/,Stale data (FY22).
Jus Amazin,Jus Amazin (entity not verified),Nut butters/snacks,FY23,1.7,-1.4,-1.4,N,,,Own website + marketplaces,https://inc42.com/company/jus-amazin/financials/,Stale data (FY23).
Urban Platter,Urban Platter (entity not verified),Gourmet pantry,FY24,54.1,-6.5,-4.8,N,,,Marketplaces (Amazon-heavy) + own site,https://inc42.com/company/urban-platter/financials/,EBITDA Inc42 estimate.
Skippi,Skippi (entity not verified),Ice pops,FY25,8.2,-6.3,,N,,,Online + retail,https://inc42.com/features/fy25-financial-tracker-tracking-the-financial-performance-of-indian-startups/,
Yu Foods,Yu Foods (entity not verified),Ready-to-eat,FY25,35.1,-11,,N,,,Online + retail,https://inc42.com/features/fy25-financial-tracker-tracking-the-financial-performance-of-indian-startups/,
MasterChow,MasterChow (entity not verified),Asian sauces/meal kits,FY25,25,-19.1,,N,,,Own website D2C + quick commerce,https://inc42.com/features/fy25-financial-tracker-tracking-the-financial-performance-of-indian-startups/,
Mr. Makhana,Mr Makhana (entity not verified),Makhana snacks,FY25,,,,,,,Online + quick commerce + retail,https://snackfax.com/industry/retail-and-ecom/mr-makhana-eyes-rs-100-cr-milestone-expansion-into-rte-and-beverages-in-2025/,No filed financials found; company claimed >75 cr run toward 100 cr in FY25.
Pintola,Das Foodtech Pvt Ltd (per search summary),Peanut butter,,,,,,,,Marketplaces + quick commerce + retail,https://inc42.com/company/pintola/,"Bootstrapped; no financials found. Note: HW Wellness is True Elements' entity, not Pintola."
