rank,tier,brand,parent_entity,category,key_products,channel_mix,fiscal_year,revenue_inr_cr,pat_bottomline_inr_cr,pat_margin_pct,ebitda_inr_cr,ebitda_margin_pct,profitability_status,data_confidence,est_aov_inr,est_purchase_freq_per_year,gross_up_factor,est_orders_per_year,est_orders_per_month,est_unique_customers_per_year,est_unique_customers_per_year_range,est_active_customers_per_month,disclosed_customer_metric,notes,source_urls
13,A - Verified profitable,Plum,Pureplay Skin Sciences (India) Pvt Ltd,Beauty & personal care,"Vegan skincare, bodycare (Plum BodyLovin'), haircare, makeup",Own site + marketplaces + ~500+ offline doors/EBOs,FY26,515.0,49.00,9.5,41.8,8.1,PAT positive (turned profitable FY25: 25 Cr),High,650,2.3,1.25,9904000,825000,4306000,2584000-6459000,825000,,EBITDA derived from ~8.1% margin.,https://entrackr.com/fintrackr/d2c-brand-plums-revenue-crosses-rs-500-cr-in-fy26-profit-doubles-12486368
14,A - Verified profitable,The Souled Store,The Souled Store Pvt Ltd,Fashion & apparel,"Pop-culture/licensed apparel - tees, hoodies, joggers, sneakers, accessories",Own app/web majority + ~40+ stores,FY25,492.4,11.00,2.2,47.8,9.7,PAT positive (profit fell 38% as FY24 had a tax credit),High,1300,1.8,1.12,4242000,354000,2357000,1414000-3535000,354000,,Company guides ~700 Cr for FY26 (unfiled).,https://entrackr.com/fintrackr/the-souled-store-nears-rs-500-cr-revenue-in-fy25-profits-decline-38-10954507 ; https://inc42.com/startups/the-souled-store-the-making-of-a-%E2%82%B9700-cr-d2c-lifestyle-brand-on-fandom-fashion/
15,A - Verified profitable,BellaVita,IDAM Natural Wellness Pvt Ltd,Beauty & personal care,"Perfumes, fragrance gift sets, bath & body",Own site + marketplaces + quick-commerce + offline,FY25,456.0,25.00,5.5,21.0,4.6,PAT positive,High,800,1.8,1.2,6840000,570000,3800000,2280000-5700000,570000,,EBITDA from ~4.6% margin.,https://entrackr.com/fintrackr/bellavitas-revenue-jumps-25x-to-rs-456-cr-in-fy25-turns-profitable-10975141
16,A - Verified profitable,Wonderchef,Wonderchef Home Appliances Pvt Ltd,Kitchen appliances & cookware,"Cookware, mixer grinders, air fryers, kitchen appliances","Omnichannel: marketplaces, own site, modern trade, TV/direct selling",FY25,421.0,4.40,1.0,8.5,2.0,PAT positive (thin),High,2500,1.3,1.3,2189000,182000,1684000,1010000-2526000,182000,,Inc42 variant: 430 Cr / 6 Cr.,https://entrackr.com/fintrackr/wonderchef-posts-421-cr-revenue-and-rs-4-cr-profit-in-fy25-10867025
17,A - Verified profitable,Vahdam India,Vahdam Teas Pvt Ltd,Food & beverage,"Premium Indian teas, chai, tea gift sets, spices",Own site + Amazon; ~96% exports (US/EU),FY26,349.6,32.20,9.2,17.5,5.0,PAT positive (first profitable year FY25: 5.2 Cr),High,2000,2.5,1.03,1800000,150000,720000,432000-1080000,150000,,Customers overwhelmingly outside India.,https://entrackr.com/fintrackr/vahdam-india-reports-rs-350-cr-revenue-in-fy26-profit-jumps-6x-12443415
18,A - Verified profitable,Beardo,Zed Lifestyle Pvt Ltd (Marico),Men's grooming,"Beard oils & growth, perfumes, face wash, hair styling",Marketplaces + own site + offline via Marico,FY26,299.0,22.12,7.4,31.6,10.6,PAT positive,Medium,550,2.0,1.3,7067000,589000,3534000,2120000-5300000,589000,,Marico subsidiary. FY25: 214 Cr / 13 Cr.,https://entrackr.com/fintrackr/beardo-nears-rs-300-cr-revenue-in-fy26-profit-jumps-70-12231894 | https://entrackr.com/fintrackr/beardo-revenue-tops-rs-200-cr-in-fy25-profit-jumps-36x-10585684
19,A - Verified profitable,"Innovist (Bare Anatomy, Chemist at Play)",Innovist Pvt Ltd,Beauty & personal care,"Haircare (Bare Anatomy), body care (Chemist at Play), sunscreen (Sunscoop)",Marketplaces + own sites + quick-commerce,FY25,299.0,12.00,4.0,1.0,0.3,PAT positive (turned profitable FY25),High,600,2.2,1.2,5980000,498000,2718000,1631000-4077000,498000,,,https://entrackr.com/fintrackr/bare-anatomy-parent-innovist-crosses-rs-300-cr-revenue-in-fy25-turns-profitable-10917108
20,A - Verified profitable,Mivi,Seminole Electronics Pvt Ltd,Consumer electronics,"Made-in-India TWS earbuds, soundbars, speakers",Marketplace-led + own site,FY25,287.0,1.20,0.4,15.6,5.4,PAT positive (thin),Medium,1300,1.2,1.2,2649000,221000,2208000,1325000-3312000,221000,,EBITDA is an Inc42 estimate.,https://inc42.com/company/mivi/financials/
21,A - Verified profitable,The Bear House,The Bear House (entity per filings),Fashion & apparel,"Premium men's shirts, polos, trousers, knitwear",Own site + marketplaces + stores,FY26,270.0,16.00,5.9,,,PAT positive (FY26 company-stated; FY25 audited 130 Cr / 3.7 Cr),Medium,2200,1.6,1.12,1375000,115000,859000,515000-1289000,115000,Repeat/retention >60% | 62% of customers from tier II+ markets; early repeat rate 65%,Repeat rate >60%; 62% customers from tier II+.,https://inc42.com/startups/can-the-bear-house-prowl-its-way-to-%E2%82%B9500-cr-in-revenue/ | https://inc42.com/startups/can-the-bear-house-prowl-its-way-to-%e2%82%b9500-cr-in-revenue/ ; https://inc42.com/startups/the-bear-house-how-this-d2c-brand-stitched-together-an-inr-140-cr-profitable-menswear-business/
22,A - Verified profitable,Urbano,Bizotic Commercial Ltd (NSE SME),Fashion & apparel,"Men's jeans, casual wear, activewear",Marketplace-led (Myntra/Flipkart/Amazon),FY26,251.0,18.00,7.2,26.0,10.4,PAT positive,High,1000,1.8,1.15,2886000,241000,1604000,962000-2405000,241000,,Listed SME; exchange-filed numbers.,https://www.screener.in/company/543926/
23,A - Verified profitable,Sat Kartar,Sat Kartar Shopping Ltd (NSE SME),Ayurveda & wellness,"Ayurvedic products for diabetes, joints, digestion, weight management",Tele-sales + own site + marketplaces,FY26,194.0,17.00,8.8,25.0,12.9,PAT positive,High,2200,2.5,1.15,1014000,85000,406000,243000-608000,85000,,Listed SME; exchange-filed numbers.,https://www.screener.in/company/SATKARTAR/
24,A - Verified profitable,Nasher Miles,Nasher Miles (entity per filings),Luggage & bags,"Hard-shell luggage, backpacks, travel accessories",Marketplace-led + own site + stores,FY25,145.5,0.09,0.1,2.7,1.9,PAT positive (breakeven),Medium,4000,1.1,1.15,418000,35000,380000,228000-570000,35000,,,https://inc42.com/company/nasher-miles/financials/
25,A - Verified profitable,Kay Beauty,Kay Beauty (Nykaa JV; entity not confirmed),Beauty & personal care,Celebrity-led colour cosmetics & skincare (Katrina Kaif),Mostly Nykaa online + Nykaa stores,FY25,132.4,11.00,8.3,,,PAT positive,Medium,1200,2.0,1.2,1324000,110000,662000,397000-993000,110000,,,https://startuppedia.in/trending/startup-news/katrina-kaifs-cosmetics-brand-kay-beauty-jumps-50-to-rs-132-crore-revenue-in-fy25-net-profit-at-rs-11-crore-11163472
26,A - Verified profitable,Deconstruct,Deconstruct (entity not confirmed),Beauty & personal care,"Science-led sunscreens, serums, moisturisers",Marketplaces + own site + quick-commerce,FY25,127.1,10.00,7.9,10.3,8.1,PAT positive,Medium,650,2.2,1.2,2346000,196000,1067000,640000-1600000,196000,,Inc42 figures - revenue may include other income; EBITDA is an Inc42 estimate.,https://inc42.com/company/deconstruct/financials/
27,A - Verified profitable,Bonkers Corner,Bonkers Corner (entity per filings),Fashion & apparel,"Streetwear - oversized tees, joggers, co-ords","~55% own site, ~40% stores, ~5% marketplaces",FY25,122.8,4.30,3.5,,,PAT positive,High,1200,1.8,1.12,1146000,96000,637000,382000-955000,96000,,"FY26 guidance: 180-195 Cr revenue, 15-16 Cr PAT.",https://inc42.com/startups/how-bonkers-corner-bootstrapped-its-way-to-a-%E2%82%B9195-cr-streetwear-brand/ ; https://inc42.com/startups/how-bonkers-corner-grew-to-%E2%82%B9125-77-cr-by-building-drop-led-demand/ | https://inc42.com/buzz/exclusive-streetwear-brand-bonkers-corner-to-raise-12-15-mn-to-deepen-offline-push/ ; https://inc42.com/startups/how-bonkers-corner-bootstrapped-its-way-to-a-%e2%82%b9195-cr-streetwear-brand/
28,A - Verified profitable,Jaipur Kurti,Nandani Creation Ltd (listed),Fashion & apparel,"Kurtas, kurta sets, ethnic wear for women",Marketplace-led + own site,FY26,111.0,2.00,1.8,8.0,7.2,PAT positive,Medium,1100,1.6,1.15,1160000,97000,725000,435000-1088000,97000,,Screener figures are rounded.,https://www.screener.in/company/JAIPURKURT/
29,A - Verified profitable,Knya,Knya (entity per filings),Fashion & apparel,"Medical scrubs, lab coats, healthcare apparel",Own site + marketplaces + hospital B2B,FY26,110.0,10.00,9.1,20.0,18.2,PAT positive,Medium,1800,1.6,1.15,703000,59000,439000,264000-659000,59000,"15 lakh+ medical professionals served; 1,000+ hospitals",Disclosed: 15 lakh+ medical professionals served (cumulative).,https://inc42.com/features/fy26-financial-tracker-tracking-the-financial-performance-of-indian-startups/ | https://inc42.com/buzz/knya-fy26-revenue-crosses-%e2%82%b9100-cr-mark-pat-jumps-3x-yoy/
30,A - Verified profitable,Beyoung,Beyoung Folks Pvt Ltd (per filings),Fashion & apparel,"Value men's & women's casual wear, tees, shirts, jeans",Own app/web + marketplaces,FY25,109.3,1.20,1.1,4.4,4.0,PAT positive (thin),Medium,900,1.8,1.15,1397000,116000,776000,466000-1164000,116000,,"Bootstrapped, Udaipur-based.",https://inc42.com/company/beyoung/financials/
31,A - Verified profitable,Urban Ladder,Urban Ladder Home Decor Solutions (Reliance Retail),Furniture & home,"Furniture, décor, furnishings",Own site + stores,FY25,106.0,4.90,4.6,14.3,13.5,PAT positive,Medium,25000,1.05,1.15,49000,4100,46000,28000-70000,4100,,Reliance subsidiary; revenue down ~30% YoY.,https://x.com/twstofler/status/1996582686476140797 ; https://www.ril.com/sites/default/files/2025-07/Urban_Ladder_Home_D%C3%A9cor_Solutions_Limited.pdf
32,A - Verified profitable,Phool,Kanpur Flowercycling Pvt Ltd,Home & fragrance,"Incense from temple flowers, home fragrance, dhoop, flower-based biomaterials",Own site + marketplaces + quick-commerce,FY25,76.5,2.50,3.3,,,PAT positive (turned profitable FY25),High,700,2.5,1.2,1311000,109000,525000,315000-787000,109000,,,https://indianretailer.com/news/phoolco-turns-profitable-fy25-strong-revenue-growth ; https://inc42.com/company/phool/financials/ | https://pulse.d2cinsider.com/phool-co-turns-profitable-in-fy25-as-revenue-surges-54-strengthening-indias-sustainable-d2c-home-care-ecosystem/
33,A - Verified profitable,Cosmix,Cosmix Wellness (60% Marico),Health & nutrition,"Plant-based protein, wellness blends for women (PCOS, sleep, skin)",Own site + marketplaces,FY25,50.9,8.21,16.1,11.4,22.4,PAT positive (22% EBITDA margin),Medium,1500,2.5,1.15,390000,33000,156000,94000-234000,33000,,Marico acquired 60% in 2025.,https://entrackr.com/fintrackr/cosmix-by-the-numbers-what-marico-gets-in-its-latest-d2c-acquisition-11078159
34,A - Verified profitable,Menhood,Macobs Technologies Ltd (NSE SME),Men's grooming,"Men's intimate grooming trimmers, grooming kits",Marketplace-led + own site,FY26,41.4,3.10,7.5,3.4,8.2,PAT positive,High,1200,1.5,1.15,397000,33000,264000,159000-397000,33000,,Listed SME.,https://pulse.d2cinsider.com/menhood-posts-75-revenue-growth-in-fy26-profit-crosses-e2-82-b93-crore-as-d2c-grooming-brand-scales-rapidly/ ; https://www.screener.in/company/MACOBSTECH/consolidated/
35,A - Verified profitable,Signoria Creation,Signoria Creation Ltd (NSE SME),Fashion & apparel,"Women's ethnic wear - kurtas, suit sets",Marketplace-led,FY26,40.5,4.19,10.4,7.9,19.6,PAT positive,High,1000,1.6,1.15,465000,39000,291000,174000-436000,39000,,Listed SME; marketplace-led rather than own-site D2C.,https://www.screener.in/company/SIGNORIA/
36,A - Verified profitable,Desi Farms,Desi Farms (entity per filings),Dairy & fresh,"A2/farm milk, curd, ghee, paneer - subscription delivery",App subscription (daily delivery),FY25,38.0,2.00,5.3,,,PAT positive,Medium,2000,12,1.05,200000,17000,17000,10000-25000,17000,,AOV treated as a monthly subscription bill.,https://pulse.d2cinsider.com/desi-farms-surges-%e2%82%b9300-cr-powering-rapid-growth-in-indias-d2c-dairy-ecosystem/
37,B - Profitable with caveat,CaratLane,CaratLane Trading Pvt Ltd (Titan subsidiary),Fine jewellery,"Diamond & gold jewellery, everyday fine jewellery",Omnichannel: web/app + ~300 stores,FY26,4702.0,,,,,Profitable at PBT level (FY25 PBT 296 Cr); FY26 PAT not separately found,Medium,30000,1.15,1.03,1614000,135000,1404000,842000-2106000,135000,,"Titan-owned; started digital-first, now store-heavy.",https://retailintel.in/signal/caratlane-moves-upmarket-targets-2-3x-revenue-by-fy30-ab4a9f16 ; https://www.titancompany.in/sites/default/files/2025-05/SEoutcome%20-%20Copy.pdf
38,B - Profitable with caveat,Milky Mist,Milky Mist Dairy Food Ltd,Dairy & fresh,"Paneer, curd, cheese, butter, yoghurt",Distributor-led general trade + modern trade; not digital-first,FY25,2349.0,46.00,2.0,307.7,13.1,PAT positive - weak D2C fit,Medium,150,24,1.45,227070000,18922000,9461000,5677000-14192000,9461000,,Included as a direct-brand consumer business; orders = retail consumer transactions. EBITDA from 13.1% margin.,https://entrackr.com/fintrackr/milky-mist-posts-rs-2349-cr-revenue-in-fy25-profit-jumps-over-24x-9523704
39,B - Profitable with caveat,Cellecor,Cellecor Gadgets Ltd (NSE SME),Consumer electronics,"Budget smartphones, feature phones, smart TVs, wearables, audio",Marketplaces + heavy offline distribution,FY26,1292.0,40.00,3.1,71.0,5.5,PAT positive - offline-leaning distribution,High,5000,1.1,1.35,3488000,291000,3171000,1903000-4757000,291000,,Listed SME.,https://www.screener.in/company/CELLECOR/
40,B - Profitable with caveat,Go Colors,Go Fashion (India) Ltd (listed),Fashion & apparel,"Women's bottom-wear - leggings, pants, jeggings",Store-led (~800 EBOs) + online,FY26,838.0,59.18,7.1,237.0,28.3,"PAT positive - store-led, not digital-first",High,1500,2.0,1.1,6145000,512000,3073000,1844000-4609000,512000,,Direct-to-consumer via own stores; EBITDA includes Ind-AS 116.,https://finance.yahoo.com/quote/GOCOLORS.NS/earnings/GOCOLORS.NS-Q4-2026-earnings_call-546217.html
41,B - Profitable with caveat,iD Fresh Food,iD Fresh Food (India) Pvt Ltd,Food & beverage,"Idli/dosa batter, parotas, ready-to-cook foods",Retail/general trade + quick-commerce + app,FY25,681.4,25.87,3.8,59.3,8.7,PAT positive - retail-led,Medium,120,20,1.45,82332000,6861000,4117000,2470000-6175000,4117000,,EBITDA from 8.7% margin.,https://entrackr.com/fintrackr/id-fresh-food-reports-rs-681-cr-revenue-in-fy25-profit-surges-over-5x-10599920
42,B - Profitable with caveat,Forest Essentials,Mountain Valley Springs India Pvt Ltd,Beauty & personal care,"Luxury Ayurvedic skincare, bath & body, fragrance",Store-led (100+ stores) + own site,FY25,580.0,130.00,22.4,,,"Profitable - figure may be EBITDA, not PAT; store-led",Low,3500,2.0,1.15,1906000,159000,953000,572000-1429000,159000,,Estée Lauder minority stake. The Ken figure.,https://the-ken.com/story/how-forest-essentials-chose-anti-growth-to-thrive-in-beauty/
43,B - Profitable with caveat,Livpure,Livpure Pvt Ltd,Appliances,"RO water purifiers, air coolers, mattresses (Livpure Sleep), subscription purifiers",Offline dealers + online; not digital-first,FY25,578.9,7.90,1.4,20.0,3.5,PAT positive - weak D2C fit,Medium,12000,1.05,1.35,651000,54000,620000,372000-930000,54000,,EBITDA Inc42 estimate.,https://inc42.com/company/livpure/financials/
44,B - Profitable with caveat,Lahori Zeera,Archian Foods Pvt Ltd,Food & beverage,"Jeera soda, nimbu soda, shikanji - ethnic carbonated drinks",Distributor-led general trade,FY25,540.0,25.00,4.6,54.0,10.0,"PAT positive - distribution-led, not digital-first",Medium,20,20,1.45,391500000,32625000,19575000,11745000-29362000,19575000,,Orders = retail consumer transactions of ~Rs 20 SKUs. EBITDA from ~10% margin.,https://entrackr.com/fintrackr/lahori-zeera-revenue-spikes-73-to-rs-540-cr-in-fy25-pat-remains-flat-11442372
45,B - Profitable with caveat,Epigamia,Drums Food International Pvt Ltd,Food & beverage,"Greek yoghurt, smoothies, mishti doi, protein snacks","Modern trade + quick-commerce + 20,000 outlets",FY25/26,500.0,,,,,Claimed profitable; revenue is a claimed ARR (>500 Cr); last filed FY23 = 172 Cr rev / -67 Cr,Low,60,12,1.45,120833000,10069000,10069000,6042000-15104000,10069000,"20,000 retail outlets, 200+ cities",Treat both revenue and profit as company claims.,https://pulse.d2cinsider.com/epigamia-accelerates-growth-with-capacity-expansion-and-profitable-scale/ | https://inc42.com/company/epigamia/financials/
46,B - Profitable with caveat,Snitch,Snitch Apparels Pvt Ltd,Fashion & apparel,"Fast-fashion menswear - shirts, tees, jeans, co-ords","~60% online (own app/web + marketplaces), ~40% via 115 stores",FY25,498.0,-1.70,-0.3,-5.0,-1.0,PAT positive FY24 (4.4 Cr); near-breakeven loss FY25,High,1500,1.8,1.12,3718000,310000,2066000,1239000-3099000,310000,,"FY26 founder-stated (unaudited): ~900 Cr revenue, 2-3% EBITDA.",https://entrackr.com/fintrackr/snitch-nears-rs-500-cr-revenue-in-fy25-stays-close-to-breakeven-11058503 ; https://inc42.com/buzz/d2c-brand-snitchs-fy26-revenue-surges-80-to-%E2%82%B9900-cr/ | https://inc42.com/buzz/snitchs-fy24-revenue-zooms-2-3x-to-inr-243-cr/
47,B - Profitable with caveat,Plix,Satiya Nutraceuticals Pvt Ltd (60% Marico),Health & nutrition,"Plant-based supplements, effervescents, skincare (Jagger/ACV)",Own site + marketplaces + quick-commerce,FY25,436.3,4.80,1.1,11.2,2.6,Disputed: Inc42 shows +4.8 Cr; another note shows -41.7 Cr,Low,900,2.5,1.2,5817000,485000,2327000,1396000-3490000,485000,,Check Marico's subsidiary financials to settle.,https://inc42.com/company/plix-life/financials/
48,B - Profitable with caveat,Traya,Traya Health (entity per filings),Health & wellness,"Hair-loss treatment kits (Ayurveda + dermatology + nutrition), diagnosis-led",Own app/web subscription,FY25,338.0,-22.50,-6.7,-20.6,-6.1,PAT positive FY24 (8.7 Cr); loss in FY25,High,2500,4.0,1.1,1487000,124000,372000,223000-558000,124000,8 lakh+ customers; 70% non-metro,Disclosed: 8 lakh+ customers (cumulative).,https://entrackr.com/fintrackr/traya-returns-to-losses-in-fy25-as-marketing-and-employee-costs-surge-10961037 | https://inc42.com/buzz/traya-turns-profitable-in-fy24-clocks-revenue-of-inr-236-cr/
49,B - Profitable with caveat,Swiss Military,Swiss Military Consumer Goods Ltd (listed),Luggage & lifestyle,"Luggage, bags, watches, home & kitchen, electronics",Marketplaces + offline,FY26,251.0,8.00,3.2,11.0,4.4,"PAT positive - licensed brand, weak D2C fit",High,2000,1.2,1.35,1694000,141000,1412000,847000-2118000,141000,,,https://www.screener.in/company/SWISSMLTRY/
50,B - Profitable with caveat,Zappfresh,DSM Fresh Foods Ltd (NSE SME),Food & beverage,"Fresh meat, seafood, ready-to-cook & marinated meats",App/web delivery + B2B (~68% of revenue),FY26,222.3,14.40,6.5,32.2,14.5,PAT positive - majority B2B revenue,High,600,6,1.15,1363000,114000,227000,136000-341000,114000,,Customer estimate uses only the ~32% B2C share of revenue.,https://inc42.com/company/zappfresh/financials/ | https://pulse.d2cinsider.com/zappfresh-fy26-profit-jumps-59-to-e2-82-b914-crore-as-d2c-meat-brand-scales-revenue-b2b-growth-and-omnichannel-expansion/ ; https://www.screener.in/company/544568/
51,B - Profitable with caveat,R for Rabbit,R for Rabbit Baby Products (entity per filings),Baby & kids,"Strollers, car seats, cribs, baby gear",Marketplaces + own site + offline,FY24,170.0,2.21,1.3,,,PAT positive FY24 only; later year near-breakeven/loss,Medium,6000,1.3,1.2,340000,28000,262000,157000-392000,28000,,,https://pulse.d2cinsider.com/r-for-rabbit-raises-27-mn-in-series-b-secondary-deals-eyes-aggressive-d2c-expansion/
