brand,entity,category,fiscal_year,revenue_inr_cr,pat_inr_cr,pat_margin_pct,ebitda_inr_cr,notes,source_url
Pepperfry,Pepperfry Ltd,furniture/home marketplace,FY25,163.0,-85.0,-52.1,"-30.5 (est, Inc42)","Inc42 shows total rev 186.2 cr, loss 84.5 cr; third straight year of decline",https://inc42.com/buzz/pepperfrys-fy24-revenue-declines-31-to-inr-189-cr/ ; https://inc42.com/company/pepperfry/financials/
The Man Company,Helios Lifestyle Pvt Ltd (Emami-owned),Men's grooming & fragrance,FY26,161.2,-32.5,-20.2,,"EBITDA margin -15.91% (~-Rs 26 Cr implied). FY25: revenue Rs 154 Cr, loss Rs 21.8 Cr. Entity name from general knowledge - verify.",https://entrackr.com/fintrackr/emami-owned-the-man-companys-losses-widen-49-in-fy26-amid-modest-revenue-growth-12129308
Wingreens,Wingreens Farms Pvt Ltd,Dips/sauces/snacks,FY24,149.7,-47.8,-31.9,-32.6,"Company-reported FY25 rev 289 cr, FY26 rev 362 cr (profit not disclosed). EBITDA is Inc42 estimate.",https://inc42.com/company/wingreens/financials/|https://indianstartupnews.com/news/wingreens-acquires-safe-harvest-raises-over-rs-120-crore-in-fresh-funding-11821782
WOW Skin Science,Fit & Glow Healthcare Pvt Ltd,Skin/hair/personal care,FY25,148.5,-117.8,-79.3,-89.4,Inc42 Datalabs figures (revenue may be total income; EBITDA is Inc42 estimate). Revenue down ~40% from Rs 246.8 Cr in FY24.,https://inc42.com/company/wow-skin-science/financials/
Zouk,Zouk (entity not confirmed),Bags/accessories,FY25,126.9,-19.6,-15.4,,FY24 rev 78.2.,https://inc42.com/company/zouk/financials/
Auric,Zenith Drinks Pvt Ltd,ayurvedic wellness beverages,FY25,126.1,-6.2,-4.9,-4.3,FY24 shown as 22.6Cr (+458%) - verify,https://inc42.com/company/auric/financials/
Wellbeing Nutrition,Nutritionalab Pvt Ltd,supplements,FY25,119.0,-38.0,-31.9,-35.3,Company claimed ~170Cr FY25 revenue (Entrackr); filed figure per Inc42 119Cr,https://inc42.com/company/wellbeing-nutrition/financials/
DaMENSCH,DaMENSCH (entity not confirmed),Innerwear/apparel (men),FY25,118.0,-57.0,-48.3,-48.6,EBITDA Inc42 estimate. FY24 loss 60.,https://entrackr.com/fintrackr/d2c-innerwear-brands-xyxx-damensch-scale-up-in-fy25-profitability-remains-elusive-11433803
Nestasia,Nestasia (entity per Inc42),home decor,FY25,115.0,-7.7,-6.7,-4.0 (est),Rev +83% YoY,https://inc42.com/company/nestasia/financials/
DailyObjects,DailyObjects (entity per Entrackr),lifestyle accessories/home,FY25,110.0,-16.0,-14.5,-10.9 (est),Targeting EBITDA+ in FY26,https://entrackr.com/fintrackr/d2c-lifestyle-brand-dailyobjects-posts-rs-110-cr-revenue-in-fy25-11146401
Nat Habit,Naturohabit Pvt Ltd,ayurveda personal care,FY25,109.3,-29.0,-26.5,-25.2,Adjacent (personal care),https://inc42.com/company/nat-habit/financials/
Supertails,Petfully Yours Pvt Ltd,pet care e-com + vet,FY25,108.3,-52.5,-48.5,-47.9,Product sales ~95% of op revenue,https://entrackr.com/fintrackr/petcare-startup-supertails-crosses-rs-100-cr-revenue-in-fy25-losses-surge-28-11167943
Neeman's,Neeman's (entity not confirmed),Footwear,FY25,108.0,-23.0,-21.3,,"FY24: rev 78.5, loss 29.2.",https://startuppedia.in/trending/startup-news/founded-by-two-brothers-in-2018-neemans-revenue-jumps-38-to-rs-108-crore-in-fy25-loss-narrows-21-to-rs-23-crore-11147244
Sanfe,Redroomtechnology Pvt Ltd,feminine hygiene,FY25,105.2,-10.4,-9.9,-8.9,,https://inc42.com/company/sanfe/financials/
Mother Sparsh,Mother Sparsh Baby Care Pvt Ltd,baby care,FY25,99.9,-13.2,-13.2,-12.0,,https://inc42.com/company/mother-sparsh/financials/
SleepyCat,SleepyCat (entity per Entrackr),mattresses,FY25,98.0,-9.0,-9.2,-9.6,,https://entrackr.com/fintrackr/sleepycat-reports-rs-98-cr-revenue-and-rs-9-cr-loss-in-fy25-11153884
Slurrp Farm,Wholsum Foods Pvt Ltd,Kids/millet foods,FY25,95.5,-32.7,-34.2,-31.3,Total income 97.5 cr; EBITDA Inc42 estimate. Loss widened 30%.,https://startuppedia.in/trending/startup-news/anushka-sharma-backed-wholsum-foods-parent-company-of-slurrp-farm-approaches-rs-100-crore-revenue-mark-in-fy25-loss-widens-30-11133954|https://inc42.com/company/slurrp-farm/financials/
BlissClub,BlissClub (entity not confirmed),Activewear (women),FY24,92.2,-43.9,-47.6,-40.2,FY25 not found. EBITDA Inc42 estimate.,https://inc42.com/company/blissclub/financials/
The Good Bug,The Good Bug (entity not verified),Gut-health foods/supplements,FY25,89.7,-43.0,-47.9,-42.2,Borderline category (supplements). EBITDA Inc42 estimate.,https://inc42.com/company/the-good-bug/financials/
Open Secret,Open Secret (entity not verified),Healthy snacks,FY25,87.3,-7.4,-8.5,,Loss down 72%.,https://inc42.com/company/open-secret/financials/
SuperBottoms,Navashya Consumer Products Pvt Ltd,baby cloth diapers,FY25,84.3,-14.2,-16.8,-13.1,,https://inc42.com/company/superbottoms/financials/
Uppercase,Uppercase (entity not confirmed),Luggage/bags,FY25,83.0,-35.0,-42.2,,,https://entrackr.com/fintrackr/uppercases-losses-double-in-fy25-revenue-grows-34-10643251
pTron,Palred Technologies Ltd (listed; pTron via Palred Electronics),audio/wearables accessories,FY26,82.0,-7.44,-9.1,-6.44 (operating loss),"Consolidated; FY25 rev 89.77 cr, loss 10.37 cr",https://www.screener.in/company/532521/ ; https://www.whalesbook.com/corporate-news/English/bankingfinance/Palred-Technologies-Posts-Standalone-Profit-of-indian-rupee274-Cr-Consolidated-Loss-Narrows/6a19bfc76ec823f1f2929db2
Bold Care,Oddity Healthcare Pvt Ltd,sexual wellness (men),FY25,79.9,-58.3,-73.0,,,https://inc42.com/buzz/bold-care-fy25-loss-widens-3x-to-%E2%82%B958-3-cr-revenue-jumps-2-4x/
Anveshan,Anveshan (entity not verified),Ghee/oils/staples D2C,FY25,77.08,-11.88,-15.4,,Raised Rs 121 cr Series B.,https://startuppedia.in/trending/startup-news/founded-by-iit-guwahati-alumni-d2c-food-tech-startup-anveshan-grows-65-to-rs-775-crore-in-fy25-loss-widens-to-rs-118-crore-11180447
Sirona,Sirona Hygiene Pvt Ltd,feminine hygiene,FY25,77.0,-22.6,-29.4,-20.1,Revenue down from 100Cr; Inc42 shows 79.5Cr,https://entrackr.com/fintrackr/amid-ownership-transition-sironas-revenue-drops-to-rs-77-cr-in-fy25-11180181
Ustraa,Happily Unmarried Marketing Pvt Ltd (VLCC-owned),Men's grooming,FY25,73.0,-14.0,-19.2,-13.4,Revenue down 22% from Rs 94 Cr; loss down 72% from Rs 50 Cr.,https://entrackr.com/fintrackr/vlcc-owned-ustraas-revenue-declines-to-rs-73-cr-in-fy25-losses-cut-by-72-10946111
Freakins,Since99 Apparel Pvt Ltd,Apparel (womenswear denim),FY25,72.5,-21.0,-29.0,-19.6,EBITDA is Inc42 Datalabs estimate. FY24 rev ~27.9.,https://inc42.com/company/freakins/financials/
The Moms Co,Amishi Consumer Technologies Pvt Ltd,mother & baby care,FY23,71.22,-64.38,-90.4,-62.4,Later years not found,https://inc42.com/buzz/the-moms-co-fy23-net-loss-jumps-60-to-inr-64-cr-revenue-grows-38/
Perfora,Perfora (entity not confirmed),Oral care,FY25,69.7,-10.4,-14.9,-9.7,Inc42 Datalabs (revenue may be total income; EBITDA estimate).,https://inc42.com/company/perfora/financials/
Gynoveda,Gynoveda Femtech Pvt Ltd,ayurveda women's health,FY25,68.1,-10.5,-15.4,-9.2,,https://inc42.com/company/gynoveda/financials/
Mylo,Blupin Technologies Pvt Ltd,mother & baby care,FY25,63.4,-19.0,-30.0,-18.5,,https://inc42.com/company/mylo/financials/
Chumbak,Chumbak Design Pvt Ltd (GOAT Brand Labs),home decor/lifestyle,FY25,61.7,-10.2,-16.5,-7.9 (est),Rev -3% YoY,https://inc42.com/company/chumbak/financials/
Fire-Boltt,Fireboltt Technologies Pvt Ltd,wearables,FY25,61.26,-31.72,-51.8,,Figures per search summary of newer entity (inc. 2022); older entity Boltt Sports Technologies Pvt Ltd not verified - brand-level revenue likely much larger; treat as partial,https://www.tofler.in/fireboltt-technologies-private-limited/company/U31904MH2022PTC379843
Urban Platter,Urban Platter (entity not verified),Gourmet pantry,FY24,54.1,-6.5,-12.0,-4.8,EBITDA Inc42 estimate.,https://inc42.com/company/urban-platter/financials/
Beyond Snack,Beyond Snack (entity not verified),Banana chips snacks,FY25,52.9,-20.9,-39.5,,Loss up 3.3x from 6.3 cr.,https://startuppedia.in/trending/startup-news/three-friends-from-symbiosis-build-beyond-snack-banana-chips-brand-posts-rs-53-crore-revenue-in-fy25-as-losses-widen-11227749
Sweet Karam Coffee,Sweet Karam Coffee (entity not verified),South Indian snacks/coffee D2C,FY25,46.4,-24.8,-53.4,-22.1,"Contrary to 'profitable small' assumption, Inc42 Datalabs shows loss. EBITDA estimate.",https://inc42.com/company/sweet-karam-coffee/financials/
Go Zero,Go Zero (entity not verified),Low-cal ice cream,FY25,42.7,-8.1,-19.0,-7.8,EBITDA Inc42 estimate.,https://inc42.com/company/go-zero/financials/
Yu Foods,Yu Foods (entity not verified),Ready-to-eat,FY25,35.1,-11.0,-31.3,,,https://inc42.com/features/fy25-financial-tracker-tracking-the-financial-performance-of-indian-startups/
Melorra,August Jewellery Pvt Ltd,"jewellery (gold, online)",FY25,35.0,-38.2,-109.1,-31.2 (est),Revenue down ~80% YoY (distress),https://inc42.com/company/melorra/financials/
Jimmy's Cocktails,Jimmy's Cocktails (entity not verified),Mixers/RTD beverages,FY25,34.2,-7.7,-22.5,,"FY24 rev 23.7 cr, loss 10 cr.",https://startuppedia.in/trending/startup-news/founded-by-ex-mahindra-and-ex-red-bull-executives-beverage-brand-jimmys-cocktail-hits-rs-342-crore-revenue-in-fy25-11247880
Salty,Salty E-Commerce Pvt Ltd,fashion jewellery/accessories,FY25,32.3,-1.1,-3.4,,Loss figure from secondary article,https://inc42.com/company/salty/financials/ ; https://openthemagazine.com/branding-marketing-and-advertising/the-brand-that-wants-to-be-indias-claires-but-saltier
Virgio,Virgio (entity not confirmed),Apparel (women fast fashion),FY25,31.9,-33.4,-104.7,-31.7,EBITDA Inc42 estimate. FY24 rev 14.3 loss 35.3.,https://inc42.com/company/virgio/financials/
Comet,Grails Marketing Pvt Ltd,Footwear (sneakers),FY25,31.7,-4.4,-13.9,,FY24 rev 7.9.,https://inc42.com/company/comet/financials/
Kindlife,Alphacma Pvt Ltd,baby/kids & clean beauty marketplace,FY25,28.9,-4.3,-14.9,,,https://inc42.com/company/kindlife/financials/
Setu Nutrition,Setu Nutrition Pvt Ltd,supplements,FY25,28.8,-17.9,-62.2,-15.7,,https://inc42.com/company/setu-nutrition/financials/
MasterChow,MasterChow (entity not verified),Asian sauces/meal kits,FY25,25.0,-19.1,-76.4,,,https://inc42.com/features/fy25-financial-tracker-tracking-the-financial-performance-of-indian-startups/
Wiggles,Sixth Sense Retail Pvt Ltd,pet care,FY24,21.6,-43.2,-200.0,-40.3,Inc42 feature: FY25 rev ~10Cr; cash crunch,https://inc42.com/company/wiggles/financials/
Snackible,Snackible (entity not verified),Healthy snacks,FY25,18.7,-1.8,-9.6,,,https://inc42.com/company/snackible/financials/
Rage Coffee,Rage Coffee (entity not verified),Coffee,FY25,15.0,-4.9,-32.7,,Revenue fell 40% from 25.1 cr. Inc42 Datalabs.,https://inc42.com/company/rage-coffee/financials/
Bummer,Bummer (entity not confirmed),Innerwear,FY25,10.7,-4.2,-39.3,-3.9,EBITDA Inc42 estimate.,https://inc42.com/company/bummer/financials/
Skippi,Skippi (entity not verified),Ice pops,FY25,8.2,-6.3,-76.8,,,https://inc42.com/features/fy25-financial-tracker-tracking-the-financial-performance-of-indian-startups/
That Sassy Thing,Huha Care Pvt Ltd,sexual wellness,FY25,6.8,-0.47,-6.9,,,https://inc42.com/company/that-sassy-thing/financials/
Timios,Timios (entity not verified),Kids snacks,FY25,4.9,-1.2,-24.5,-0.5,EBITDA Inc42 estimate.,https://inc42.com/company/timios/financials/
Svami,Svami (entity not verified; Stranger & Sons majority),Mixers,FY23,4.2,-8.2,-195.2,-7.8,Stale data (FY23).,https://inc42.com/company/svami/financials/
Naagin Sauce,Miksar Foods Pvt Ltd (per ZoomInfo),Hot sauces,FY25,4.1,-6.1,-148.8,-5.8,EBITDA Inc42 estimate.,https://inc42.com/company/naagin/financials/
Tea Trunk,Tea Trunk (entity not verified),Tea D2C,FY22,3.8,-0.415,-10.9,-0.305,Stale data (FY22).,https://inc42.com/company/tea-trunk/financials/
Power Gummies,Aesthetic Nutrition Pvt Ltd,gummy supplements,FY25,3.5,-7.4,-211.4,-6.0,Revenue fell 80% from 17.6Cr; possible business transfer - verify,https://inc42.com/company/power-gummies/financials/
Jus Amazin,Jus Amazin (entity not verified),Nut butters/snacks,FY23,1.7,-1.4,-82.4,-1.4,Stale data (FY23).,https://inc42.com/company/jus-amazin/financials/
